"","CatalogNumber","RouteIdentifier","SurveyAreaIdentifier","SpeciesCode","YearCollected","MonthCollected","DayCollected","TimeCollected","DurationInHours","CollectorNumber","DecimalLatitude","DecimalLongitude","ObservationCount"
"216","128834-1-2550-11","VICX-12","VICX-12","GBHE","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","1"
"217","167219-1-5080-13","VIPQ-8","VIPQ-8","BOGU","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","22"
"218","58589-1-840-2","VIPM-2","VIPM-2","BAGO","2016","7","17","7","2","1054944","50.788406","-126.438927","1"
"219","131682-1-2550-9","GIHO-10","GIHO-10","GBHE","2020","2","9","9.25","0.25","1054964","49.498619","-124.677040","1"
"220","128834-1-1620-8","VICX-12","VICX-12","HOGR","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","1"
"221","45972-1-810-5","VICX-3","VICX-3","LTDU","2008","11","9","11","2","1078227","49.714108","-124.873199","2"
"222","58589-1-1530-5","VIPM-2","VIPM-2","RTLO","2016","7","17","7","2","1054944","50.788406","-126.438927","2"
"223","93221-1-14010-8","LMSQ-18","LMSQ-18","CORA","2017","5","14","11.75","0.25","1054942","49.690266","-123.155602","2"
"224","129083-1-2420-6","GIHO-18","GIHO-18","PECO","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","2"
"225","45972-1-770-2","VICX-3","VICX-3","SUSC","2008","11","9","11","2","1078227","49.714108","-124.873199","28"
"226","129086-1-1550-5","GIHO-18","GIHO-18","PALO","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","9"
"227","109448-1-750-2","VICR-1","VICR-1","HARD","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","4"
"228","131855-1-4650-14","GIGB-3","GIGB-3","SURF","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","62"
"229","288014-1-3580-23","VIVI-16","VIVI-16","MERL","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","1"
"230","103504-1-3020-14","SCBI-11","SCBI-11","BAEA","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","2"
"231","106839-1-880-3","LMSQ-1","LMSQ-1","COME","2017","5","14","7.5","0.216667","1054942","49.679691","-123.172699","4"
"232","131855-1-4270-11","GIGB-3","GIGB-3","BLOY","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","6"
"233","128835-1-451-2","VICX-12","VICX-12","MALL","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","3"
"234","131845-1-5800-15","GIGB-3","GIGB-3","MAMU","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","4"
"235","103503-1-1600-8","SCBI-11","SCBI-11","PBGR","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","1"
"236","127526-1-13900-16","SCPR-1","SCPR-1","AMCR","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","2"
"237","93221-1-5250-5","LMSQ-18","LMSQ-18","GWGU","2017","5","14","11.75","0.25","1054942","49.690266","-123.155602","8"
"238","102196-1-451-2","GIHO-4","GIHO-4","MALL","2019","1","13","13.5","1.25","1055051","49.543369","-124.633522","2"
"239","87911-1-420-2","SCPR-2","SCPR-2","AMWI","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","53"
"240","40326-1-451-2","LMVN-67","LMVN-67","MALL","2004","10","10","14.1667","0.5","1030747","49.271713","-123.197548","239"
"241","57354-1-800-10","LMVN-8","LMVN-8","UNSC","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","8"
"242","58588-1-5080-14","VIPM-2","VIPM-2","BOGU","2016","7","17","7","2","1054944","50.788406","-126.438927","171"
"243","32037-1-6110-7","LMSQ-13","LMSQ-13","ECDO","2015","9","13","10.1","0.216666","1054942","49.698147","-123.160049","1"
"244","103504-1-14010-17","SCBI-11","SCBI-11","CORA","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","4"
"245","131845-1-5350-18","GIGB-3","GIGB-3","UNGU","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","3"
"246","103503-1-830-5","SCBI-11","SCBI-11","COGO","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","5"
"247","32785-1-6110-14","LMSQ-12","LMSQ-12","ECDO","2014","9","14","10","0.25","1054942","49.691441","-123.166588","13"
"248","19474-1-3370-9","LMVN-8","LMVN-8","RTHA","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","2"
"249","19474-1-770-12","LMVN-8","LMVN-8","SUSC","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","4"
"250","20478-1-5250-9","VIBM-2","VIBM-2","GWGU","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","15"
"251","20478-1-5142-12","VIBM-2","VIBM-2","SHBG","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","1"
"252","20478-1-2390-6","VIBM-2","VIBM-2","DCCO","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","3"
"253","93223-1-14010-6","LMSQ-19","LMSQ-19","CORA","2017","5","14","12","0.25","1054942","49.707039","-123.144310","1"
"254","106257-1-820-3","VIVI-61","VIVI-61","BUFF","2019","4","15","11","1.75","1055004","48.451252","-123.417732","65"
"255","58588-1-5780-11","VIPM-2","VIPM-2","PIGU","2016","7","17","7","2","1054944","50.788406","-126.438927","48"
"256","159210-1-451-3","VICX-7","VICX-7","MALL","2021","3","13","15","1.5","1054998","49.653252","-124.942177","160"
"257","130872-1-870-8","GISS-1","GISS-1","HOME","2020","1","11","13.75","2","1055037","48.836075","-123.451881","2"
"258","154088-1-5142-9","VINN-12","VINN-12","SHBG","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","33"
"259","279327-2-5250-7","VINN-13","VINN-13","GWGU","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","1"
"260","154088-1-1620-6","VINN-12","VINN-12","HOGR","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","2"
"261","106260-1-13900-8","VIVI-61","VIVI-61","AMCR","2019","4","15","11","1.75","1055004","48.451252","-123.417732","6"
"262","106260-1-45379-5","VIVI-61","VIVI-61","UNCO","2019","4","15","11","1.75","1055004","48.451252","-123.417732","1"
"263","151003-1-451-2","GIDE-1","GIDE-1","MALL","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","12"
"264","131845-1-770-4","GIGB-3","GIGB-3","SUSC","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","31"
"265","287191-1-1630-12","SCPR-1","SCPR-1","RNGR","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","1"
"266","153811-1-840-3","GIGB-2","GIGB-2","BAGO","2021","1","10","12.5","-11.5","1081071","49.137474","-123.788544","88"
"267","167158-1-4210-24","VIPQ-8","VIPQ-8","KILL","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"268","272918-1-6110-14","VIVI-63","VIVI-63","ECDO","2021","9","12","8.7","2.2","1031881","48.599751","-123.376083","3"
"269","159212-1-410-1","VICX-7","VICX-7","EUWI","2021","3","13","15","1.5","1054998","49.653252","-124.942177","4"
"270","159280-1-410-1","VICX-7","VICX-7","EUWI","2021","3","13","15","1.5","1054998","49.653252","-124.942177","4"
"271","51918-1-7440-1","LMSQ-6","LMSQ-6","GHOW","2012","5","13","7.5","5","1054942","49.715534","-123.167679","3"
"272","151004-1-680-3","GIDE-1","GIDE-1","GRSC","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","130"
"273","284214-1-1560-8","VINN-7","VINN-7","COLO","2022","2","13","11","0.666667","1030870","49.240520","-123.970940","2"
"274","167219-1-1560-16","VIPQ-8","VIPQ-8","COLO","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"275","284214-1-5250-5","VINN-7","VINN-7","GWGU","2022","2","13","11","0.666667","1030870","49.240520","-123.970940","34"
"276","290589-1-750-3","SCPR-1","SCPR-1","HARD","2022","4","10","9.91667","1.65","2388508","49.816643","-124.530579","28"
"277","131845-1-1620-7","GIGB-3","GIGB-3","HOGR","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"278","130872-1-880-9","GISS-1","GISS-1","COME","2020","1","11","13.75","2","1055037","48.836075","-123.451881","3"
"279","151652-1-45419-6","LMVN-38","LMVN-38","AMCO","2020","12","13","9.25","0.666667","1080092","49.292191","-122.890572","1"
"280","154105-1-590-1","VINN-12","VINN-12","GWTE","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","2"
"281","154105-1-840-4","VINN-12","VINN-12","BAGO","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","9"
"282","109449-1-3020-9","VICR-1","VICR-1","BAEA","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","10"
"283","109449-1-2390-6","VICR-1","VICR-1","DCCO","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","1"
"284","149915-1-1560-17","VICX-3","VICX-3","COLO","2020","10","12","13","2.25","1074637","49.714108","-124.873199","45"
"285","291018-1-770-3","VIVI-30","VIVI-30","SUSC","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","9"
"286","149917-1-1560-16","VICX-3","VICX-3","COLO","2020","10","12","13","2.25","1074637","49.714108","-124.873199","45"
"287","32544-1-6110-7","LMSQ-20","LMSQ-20","ECDO","2015","1","10","11.8833","0.316667","1054942","49.710426","-123.150291","2"
"288","159212-1-830-7","VICX-7","VICX-7","COGO","2021","3","13","15","1.5","1054998","49.653252","-124.942177","6"
"289","130872-1-4270-12","GISS-1","GISS-1","BLOY","2020","1","11","13.75","2","1055037","48.836075","-123.451881","2"
"290","50607-1-451-4","LMVN-12","LMVN-12","MALL","2012","2","13","9","2","1054976","49.165325","-123.204292","31"
"291","290589-1-1620-6","SCPR-1","SCPR-1","HOGR","2022","4","10","9.91667","1.65","2388508","49.816643","-124.530579","5"
"292","290590-1-420-1","SCPR-1","SCPR-1","AMWI","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","18"
"293","167219-1-830-5","VIPQ-8","VIPQ-8","COGO","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"294","167219-1-451-2","VIPQ-8","VIPQ-8","MALL","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","12"
"295","159212-1-30508-4","VICX-7","VICX-7","NOPI","2021","3","13","15","1.5","1054998","49.653252","-124.942177","12"
"296","149915-1-5350-15","VICX-3","VICX-3","UNGU","2020","10","12","13","2.25","1074637","49.714108","-124.873199","165"
"297","45972-1-890-7","VICX-3","VICX-3","RBME","2008","11","9","11","2","1078227","49.714108","-124.873199","2"
"298","57354-1-30508-4","LMVN-8","LMVN-8","NOPI","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","2364"
"299","182396-1-520-3","NCKI-1","NCKI-1","BWTE","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","12"
"300","106257-1-5250-4","VIVI-61","VIVI-61","GWGU","2019","4","15","11","1.75","1055004","48.451252","-123.417732","28"
"301","279328-2-280-1","VINN-13","VINN-13","TRUS","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","6"
"302","279328-2-830-4","VINN-13","VINN-13","COGO","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","4"
"303","151653-1-5250-4","LMVN-38","LMVN-38","GWGU","2020","12","13","9.25","0.666667","1080092","49.292191","-122.890572","4"
"304","127526-1-2550-13","SCPR-1","SCPR-1","GBHE","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","1"
"305","149915-1-5250-14","VICX-3","VICX-3","GWGU","2020","10","12","13","2.25","1074637","49.714108","-124.873199","51"
"306","149915-1-14010-21","VICX-3","VICX-3","CORA","2020","10","12","13","2.25","1074637","49.714108","-124.873199","1"
"307","130971-1-840-7","GISS-1","GISS-1","BAGO","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","2"
"308","287192-1-791-5","SCPR-1","SCPR-1","BLSC","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","20"
"309","151653-1-660-1","LMVN-38","LMVN-38","RNDU","2020","12","13","9.25","0.666667","1080092","49.292191","-122.890572","1"
"310","279609-1-451-3","LMVN-65","LMVN-65","MALL","2021","12","16","18.8333","0.05","1031933","49.023018","-123.118370","52"
"311","57354-1-750-7","LMVN-8","LMVN-8","HARD","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","2"
"312","290590-1-451-2","SCPR-1","SCPR-1","MALL","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","2"
"313","288014-1-451-11","VIVI-16","VIVI-16","MALL","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","3"
"314","130884-1-1560-7","SCGI-5","SCGI-5","COLO","2020","1","12","10.1667","1.16667","1054970","49.412853","-123.632332","8"
"315","118687-1-2550-8","GIHO-4","GIHO-4","GBHE","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","3"
"316","149915-1-2420-18","VICX-3","VICX-3","PECO","2020","10","12","13","2.25","1074637","49.714108","-124.873199","46"
"317","154088-1-880-5","VINN-12","VINN-12","COME","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","2"
"318","150422-1-45581-15","VIBC-2","VIBC-2","PEFA","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","1"
"319","287192-1-680-2","SCPR-1","SCPR-1","GRSC","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","2"
"320","287192-1-880-8","SCPR-1","SCPR-1","COME","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","2"
"321","127526-1-5142-7","SCPR-1","SCPR-1","SHBG","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","10"
"322","288014-1-4750-14","VIVI-16","VIVI-16","LESA","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","3"
"323","287192-1-770-4","SCPR-1","SCPR-1","SUSC","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","91"
"324","151785-1-3020-11","VIPQ-9","VIPQ-9","BAEA","2020","12","13","11","2","1075146","49.299919","-124.155808","2"
"325","287192-1-420-1","SCPR-1","SCPR-1","AMWI","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","23"
"326","57354-1-5350-27","LMVN-8","LMVN-8","UNGU","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","22"
"327","57592-1-6110-28","VIVI-16","VIVI-16","ECDO","2015","9","14","8.5","4.75","1054996","48.381138","-123.494041","3"
"328","279328-2-5250-7","VINN-13","VINN-13","GWGU","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","1"
"329","128314-1-420-1","SCPR-1","SCPR-1","AMWI","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","12"
"330","131682-1-4270-4","GIHO-10","GIHO-10","BLOY","2020","2","9","9.25","0.25","1054964","49.498619","-124.677040","2"
"331","106257-1-230-1","VIVI-61","VIVI-61","CAGO","2019","4","15","11","1.75","1055004","48.451252","-123.417732","6"
"332","129086-1-1630-2","GIHO-18","GIHO-18","RNGR","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","12"
"333","130880-1-1560-7","SCGI-5","SCGI-5","COLO","2020","1","12","10.1667","1.5","1054970","49.412853","-123.632332","8"
"334","86613-1-5190-14","GIGB-4","GIGB-4",NA,"2018","1","13","9.5","2.5","1078328","49.193161","-123.866173","2"
"335","112301-1-451-2","LMSQ-18","LMSQ-18","MALL","2017","5","14","11.75","0.25","1054942","49.690266","-123.155602","2"
"336","131845-1-2420-20","GIGB-3","GIGB-3","PECO","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"337","276100-1-6110-33","SCPR-3","SCPR-3","ECDO","2021","10","8","7.66667","4","1080016","49.766373","-124.340492","2"
"338","131682-1-750-1","GIHO-10","GIHO-10","HARD","2020","2","9","9.25","0.25","1054964","49.498619","-124.677040","4"
"339","128314-1-1630-4","SCPR-1","SCPR-1","RNGR","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","7"
"340","57354-1-4820-24","LMVN-8","LMVN-8","DUNL","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","30"
"341","132637-1-5150-7","LMWR-2","LMWR-2","RBGU","2019","10","13","16.5833","0.916666","1054979","49.019089","-122.817352","1"
"342","118685-1-750-2","GIHO-4","GIHO-4","HARD","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","14"
"343","182396-1-160-1","NCKI-1","NCKI-1","SNGO","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","16"
"344","279608-1-30508-5","LMVN-65","LMVN-65","NOPI","2021","12","16","18.8333","0.05","1031933","49.023018","-123.118370","3"
"345","279608-1-160-2","LMVN-65","LMVN-65","SNGO","2021","12","16","18.8333","0.05","1031933","49.023018","-123.118370","2"
"346","151641-1-830-5","SCPR-1","SCPR-1","COGO","2020","12","12","13","2","1043283","49.816643","-124.530579","2"
"347","151641-1-1630-8","SCPR-1","SCPR-1","RNGR","2020","12","12","13","2","1043283","49.816643","-124.530579","1"
"348","106260-1-451-2","VIVI-61","VIVI-61","MALL","2019","4","15","11","1.75","1055004","48.451252","-123.417732","4"
"349","106276-1-4210-6","VIPH-1","VIPH-1","KILL","2019","4","15","10.25","1.25","1032711","50.726246","-127.483253","1"
"350","57513-1-6110-2","LMSQ-13","LMSQ-13","ECDO","2016","3","13","9.6","0.166666","1054942","49.698147","-123.160049","3"
"351","106887-1-2850-1","LMSQ-5","LMSQ-5","TUVU","2017","5","14","8.5","0.216666","1054942","49.701885","-123.176239","1"
"352","132637-1-2550-10","LMWR-2","LMWR-2","GBHE","2019","10","13","16.5833","0.916666","1054979","49.019089","-122.817352","1"
"353","131855-1-5350-20","GIGB-3","GIGB-3","UNGU","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","3"
"354","127526-1-5350-10","SCPR-1","SCPR-1","UNGU","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","7"
"355","131682-1-2370-7","GIHO-10","GIHO-10","BRAC","2020","2","9","9.25","0.25","1054964","49.498619","-124.677040","49"
"356","87911-1-5142-13","SCPR-2","SCPR-2","SHBG","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","8"
"357","45970-1-5780-15","VICX-3","VICX-3","PIGU","2008","11","9","11","2","1054987","49.714108","-124.873199","1"
"358","45970-1-45379-12","VICX-3","VICX-3","UNCO","2008","11","9","11","2","1054987","49.714108","-124.873199","13"
"359","53840-1-14010-13","VIBM-2","VIBM-2","CORA","2014","4","5","11.5833","0.416667","1055054","48.835426","-125.137550","1"
"360","279328-2-880-5","VINN-13","VINN-13","COME","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","2"
"361","149917-1-5250-13","VICX-3","VICX-3","GWGU","2020","10","12","13","2.25","1074637","49.714108","-124.873199","51"
"362","150422-1-451-2","VIBC-2","VIBC-2","MALL","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","61"
"363","107272-1-230-1","LMVN-29","LMVN-29","CAGO","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","13"
"364","166548-1-830-5","VIVI-35","VIVI-35","COGO","2021","2","21","8.25","1.25","1054973","48.585434","-123.362808","7"
"365","167158-1-2390-16","VIPQ-8","VIPQ-8","DCCO","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"366","87911-1-14010-20","SCPR-2","SCPR-2","CORA","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","22"
"367","279328-2-5350-8","VINN-13","VINN-13","UNGU","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","170"
"368","101647-1-5250-7","LMSQ-12","LMSQ-12","GWGU","2018","2","11","10.3667","0.2","1054942","49.691441","-123.166588","7"
"369","131855-1-2390-23","GIGB-3","GIGB-3","DCCO","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","2"
"370","150425-1-2550-12","VIBC-2","VIBC-2","GBHE","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","1"
"371","103503-1-13900-16","SCBI-11","SCBI-11","AMCR","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","7"
"372","101647-1-590-4","LMSQ-12","LMSQ-12","GWTE","2018","2","11","10.3667","0.2","1054942","49.691441","-123.166588","6"
"373","150425-1-4270-9","VIBC-2","VIBC-2","BLOY","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","12"
"374","93223-1-5250-3","LMSQ-19","LMSQ-19","GWGU","2017","5","14","12","0.25","1054942","49.707039","-123.144310","2"
"375","131852-1-2370-6","GIHO-10","GIHO-10","BRAC","2020","2","9","9.25","0.333333","1054964","49.498619","-124.677040","49"
"376","89224-1-4210-12","SCPR-2","SCPR-2","KILL","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","4"
"377","101647-1-230-1","LMSQ-12","LMSQ-12","CAGO","2018","2","11","10.3667","0.2","1054942","49.691441","-123.166588","11"
"378","106276-1-13900-9","VIPH-1","VIPH-1","AMCR","2019","4","15","10.25","1.25","1032711","50.726246","-127.483253","4"
"379","154088-1-4210-8","VINN-12","VINN-12","KILL","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","2"
"380","51762-1-7440-12","LMSQ-7","LMSQ-7","GHOW","2011","5","10","7.25","5.75","1054942","49.698761","-123.175003","1"
"381","131855-1-5800-17","GIGB-3","GIGB-3","MAMU","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","4"
"382","58588-1-870-3","VIPM-2","VIPM-2","HOME","2016","7","17","7","2","1054944","50.788406","-126.438927","2"
"383","89224-1-13900-18","SCPR-2","SCPR-2","AMCR","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","4"
"384","131845-1-420-1","GIGB-3","GIGB-3","AMWI","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","39"
"385","103504-1-2420-11","SCBI-11","SCBI-11","PECO","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","2"
"386","131734-1-5170-4","NCKI-4","NCKI-4","HERG","2019","8","12","10.9167","1","1055044","53.914066","-128.752808","1"
"387","19474-1-5150-26","LMVN-8","LMVN-8","RBGU","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","20"
"388","20478-1-2550-3","VIBM-2","VIBM-2","GBHE","2014","4","5","11.5833","0.5","1055054","48.835426","-125.137550","1"
"389","19474-1-800-23","LMVN-8","LMVN-8","UNSC","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","8"
"390","89224-1-5250-15","SCPR-2","SCPR-2","GWGU","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","34"
"391","50470-1-420-2","LMVN-12","LMVN-12","AMWI","2012","2","13","9","2","1055009","49.165325","-123.204292","31"
"392","290983-1-1620-9","VIVI-30","VIVI-30","HOGR","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","12"
"393","151785-1-750-2","VIPQ-9","VIPQ-9","HARD","2020","12","13","11","2","1075146","49.299919","-124.155808","11"
"394","50470-1-45379-5","LMVN-12","LMVN-12","UNCO","2012","2","13","9","2","1055009","49.165325","-123.204292","4"
"395","152177-1-1620-3","GIPE-14","GIPE-14","HOGR","2020","11","8","11.9833","0.133333","1055118","48.812180","-123.273727","1"
"396","287192-1-2420-13","SCPR-1","SCPR-1","PECO","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","4"
"397","287192-1-1560-10","SCPR-1","SCPR-1","COLO","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","2"
"398","290589-1-1670-7","SCPR-1","SCPR-1","UNGR","2022","4","10","9.91667","1.65","2388508","49.816643","-124.530579","2"
"399","290589-1-420-1","SCPR-1","SCPR-1","AMWI","2022","4","10","9.91667","1.65","2388508","49.816643","-124.530579","18"
"400","290589-1-820-4","SCPR-1","SCPR-1","BUFF","2022","4","10","9.91667","1.65","2388508","49.816643","-124.530579","15"
"401","128314-1-5142-7","SCPR-1","SCPR-1","SHBG","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","10"
"402","45972-1-1630-10","VICX-3","VICX-3","RNGR","2008","11","9","11","2","1078227","49.714108","-124.873199","4"
"403","91560-1-820-4","LMSQ-3","LMSQ-3","BUFF","2017","4","9","7.96667","0.233333","1054942","49.703907","-123.176682","5"
"404","290983-1-5142-15","VIVI-30","VIVI-30","SHBG","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","1"
"405","45972-1-4820-13","VICX-3","VICX-3","DUNL","2008","11","9","11","2","1078227","49.714108","-124.873199","9"
"406","19474-1-2550-6","LMVN-8","LMVN-8","GBHE","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","7"
"407","40287-1-5250-6","LMVN-67","LMVN-67","GWGU","2004","10","10","14.1667","0.5","1053929","49.271713","-123.197548","3"
"408","151003-1-820-6","GIDE-1","GIDE-1","BUFF","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","90"
"409","290983-1-5780-12","VIVI-30","VIVI-30","PIGU","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","14"
"410","130884-1-13900-9","SCGI-5","SCGI-5","AMCR","2020","1","12","10.1667","1.16667","1054970","49.412853","-123.632332","4"
"411","91560-1-230-1","LMSQ-3","LMSQ-3","CAGO","2017","4","9","7.96667","0.233333","1054942","49.703907","-123.176682","9"
"412","19474-1-45379-3","LMVN-8","LMVN-8","UNCO","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","40"
"413","103504-1-770-2","SCBI-11","SCBI-11","SUSC","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","3"
"414","103503-1-770-2","SCBI-11","SCBI-11","SUSC","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","3"
"415","106329-1-4210-5","VIPH-1","VIPH-1","KILL","2019","4","15","10.25","1.25","1032711","50.726246","-127.483253","1"
"416","167219-1-4210-10","VIPQ-8","VIPQ-8","KILL","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"417","106260-1-5250-4","VIVI-61","VIVI-61","GWGU","2019","4","15","11","1.75","1055004","48.451252","-123.417732","28"
"418","57570-1-6110-36","VIVI-16","VIVI-16","ECDO","2015","12","16","8.5","2.16667","1054996","48.381138","-123.494041","1"
"419","149941-1-2420-2","GIPE-3","GIPE-3","PECO","2020","9","10","13.25","0.333333","1078346","48.759563","-123.207329","1"
"420","150425-1-45581-15","VIBC-2","VIBC-2","PEFA","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","1"
"421","167219-1-820-4","VIPQ-8","VIPQ-8","BUFF","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","2"
"422","109448-1-4210-3","VICR-1","VICR-1","KILL","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","4"
"423","130971-1-770-4","GISS-1","GISS-1","SUSC","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","45"
"424","279609-1-160-2","LMVN-65","LMVN-65","SNGO","2021","12","16","18.8333","0.05","1031933","49.023018","-123.118370","2"
"425","106329-1-3020-8","VIPH-1","VIPH-1","BAEA","2019","4","15","10.25","1.25","1032711","50.726246","-127.483253","4"
"426","107272-1-1670-4","LMVN-29","LMVN-29","UNGR","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","1"
"427","106840-1-880-3","LMSQ-2","LMSQ-2","COME","2017","5","14","7.75","0.216667","1053929","49.695358","-123.184853","2"
"428","287191-1-820-6","SCPR-1","SCPR-1","BUFF","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","62"
"429","118685-1-1560-7","GIHO-4","GIHO-4","COLO","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","1"
"430","279609-1-30508-5","LMVN-65","LMVN-65","NOPI","2021","12","16","18.8333","0.05","1031933","49.023018","-123.118370","3"
"431","287191-1-750-3","SCPR-1","SCPR-1","HARD","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","97"
"432","127548-1-1620-6","LMWR-2","LMWR-2","HOGR","2019","10","13","16.5833","0.916666","1054978","49.019089","-122.817352","1"
